,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
9006,35.156,-4.461,12.148,1.8,0.857,16.609,12.416,14.539,42.599,58.347,26.192,224.537,317.651,129.487,80.5,120.849,39.54,211.616,304.748,117.038
9085,41.515,-6.449,9.988,1.744,0.84,16.437,5.426,6.649,21.534,27.246,15.512,131.336,179.952,80.25,41.192,57.106,24.498,124.588,173.164,73.597
9164,38.951,-6.8,9.539,1.505,0.721,16.339,4.007,5.244,57.283,83.186,30.316,231.114,333.36,125.999,115.306,171.359,57.942,225.756,327.951,120.966
9243,40.059,-3.125,9.825,1.574,0.758,12.95,4.676,5.709,24.296,31.688,16.49,125.331,169.661,78.544,45.641,63.181,26.93,119.258,163.407,72.714
9322,42.853,-13.741,7.659,1.265,0.603,21.4,7.091,8.322,55.743,77.591,32.623,247.17,350.956,140.526,116.154,168.714,61.669,239.456,343.714,132.553
9401,41.291,1.459,10.917,1.719,0.831,9.458,2.933,3.312,11.952,15.036,8.724,61.209,75.433,46.582,20.391,26.147,14.491,57.629,71.492,43.397
9480,41.63,-1.572,10.118,1.676,0.808,11.69,1.781,2.316,20.573,29.479,10.828,102.808,148.237,55.27,41.778,61.236,20.601,100.061,145.194,52.887
9559,37.72,3.286,15.084,2.74,1.311,11.798,5.324,7.273,17.903,21.133,14.254,69.624,81.228,56.36,22.495,26.425,17.958,61.656,72.76,48.923
9638,42.561,-1.633,8.518,1.397,0.676,10.151,1.628,2.015,15.813,21.214,10.042,64.232,84.936,42.438,27.105,36.907,16.63,61.823,82.474,40.09
9717,39.13,2.236,9.827,1.461,0.703,7.591,6.158,7.157,15.387,15.329,15.441,49.178,55.697,42.735,16.027,16.997,15.073,41.286,48.151,34.479
9796,36.154,5.528,12.256,1.725,0.833,6.728,1.416,1.898,11.791,15.38,7.833,52.021,63.591,39.712,20.557,25.73,14.829,49.689,60.873,37.797
9875,37.953,4.871,11.472,1.763,0.852,6.601,2.451,2.831,13.255,17.353,9.168,54.155,66.836,41.55,21.674,28.453,14.987,51.021,63.549,38.584
9954,45.421,-1.877,8.584,1.571,0.75,10.461,10.397,13.169,34.362,39.663,28.895,82.145,97.393,66.537,33.994,41.388,26.615,67.288,82.065,52.221
10033,39.924,1.87,10.478,1.488,0.714,8.608,7.48,8.666,18.983,20.155,17.786,61.969,74.26,49.721,20.313,22.894,17.686,52.508,64.676,40.398
10112,43.758,-6.567,8.912,1.585,0.76,15.479,2.849,3.687,29.939,41.983,16.882,143.466,204.135,82.036,60.758,88.383,31.775,139.132,199.823,77.743
10191,43.828,-7.992,9.504,1.622,0.783,17.496,2.808,3.311,33.967,47.721,18.391,161.382,230.716,88.704,71.98,103.78,37.05,157.653,226.958,85.072
10270,39.575,2.213,9.96,1.507,0.727,7.747,1.856,2.191,12.288,16.01,8.344,49.277,59.619,38.286,19.531,25.022,13.704,46.724,56.888,35.925
