,GDP,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)"
8694,1658,20.381,20.212,27.233,3.41,1.535,7.021,51.791,62.647,105.547,235.934,81.854,179.348
21729,12663,35.785,1.512,14.934,2.373,1.078,13.422,14.629,17.243,111.084,315.93,167.559,298.997
18648,16173,29.081,11.496,17.4,2.297,1.09,5.904,12.711,16.721,57.475,136.357,64.503,118.751
20939,3427,21.973,18.653,25.112,3.165,1.422,6.459,33.837,42.378,105.902,261.783,112.558,222.471
19517,5615,25.898,12.891,20.328,2.444,1.156,7.437,16.358,19.492,59.798,203.365,83.208,185.225
19596,7005,28.446,9.871,17.376,2.164,1.033,7.505,9.705,12.113,50.338,169.303,74.155,156.026
9405,3597,24.734,16.05,21.618,2.725,1.265,5.568,21.586,25.673,56.567,157.174,57.811,131.311
11775,19023,40.292,-3.287,9.27,1.461,0.703,12.557,3.38,3.924,21.955,111.201,44.27,106.928
14461,24910,45.369,-3.187,7.796,1.366,0.661,10.983,2.408,2.93,13.156,68.929,25.722,65.596
17226,38443,44.308,-3.136,8.033,1.283,0.618,11.169,6.843,8.444,29.4,107.553,43.309,99.069
10748,82887,33.607,8.011,9.091,1.781,0.867,1.08,4.966,5.969,12.127,47.12,13.427,40.751
11933,15619,41.515,-6.449,9.988,1.744,0.84,16.437,5.426,6.649,21.534,131.336,41.192,124.588
2848,913,19.192,23.627,29.474,3.749,1.731,5.847,28.295,38.036,100.527,256.575,116.035,221.503
22203,4128,20.639,21.547,26.997,3.875,1.812,5.45,15.076,17.991,50.563,160.007,62.983,141.627
14540,47700,46.765,-3.681,5.936,1.138,0.548,9.617,2.389,3.04,8.654,39.147,12.618,35.736
10827,27941,30.22,14.167,16.919,2.393,1.148,2.752,5.517,6.679,24.807,96.495,36.752,89.009
6561,1558,17.899,26.519,32.067,4.314,2.009,5.548,21.033,31.88,84.367,218.16,90.827,185.512
14619,9164,43.014,-9.749,9.211,1.529,0.732,18.96,4.42,5.711,17.47,113.204,34.943,107.462
2927,20266,32.798,6.181,15.031,2.313,1.11,8.85,11.413,13.447,53.852,184.104,82.832,170.678
6640,494,19.047,21.879,30.788,3.876,1.653,8.909,69.962,96.71,170.062,328.301,125.861,244.438
9484,79426,42.315,2.109,7.1,1.035,0.5,4.991,1.657,2.196,7.394,46.347,14.201,43.898
12091,20565,40.059,-3.125,9.825,1.574,0.758,12.95,4.676,5.709,24.296,125.331,45.641,119.258
14698,29469,43.536,-0.898,8.89,1.628,0.786,9.788,1.418,1.874,7.277,54.0,15.586,51.898
21018,2240,19.373,24.434,29.322,3.925,1.826,4.888,15.567,18.531,61.278,183.005,75.927,162.604
3006,539,15.226,32.074,43.086,6.202,2.521,11.012,66.165,104.462,231.209,418.43,196.708,330.986
5297,6739,27.352,7.278,19.31,2.341,1.07,12.032,28.082,36.936,142.195,388.519,199.346,361.061
3085,328,16.405,18.112,28.857,4.337,1.729,10.745,60.708,94.759,252.03,430.048,218.328,341.951
14777,29198,44.322,-1.58,7.497,1.286,0.62,9.077,2.177,2.639,10.321,53.73,18.003,50.637
8773,3293,32.727,6.494,13.781,1.974,0.952,7.287,5.467,6.507,29.706,114.785,50.018,107.595
17384,19129,34.436,1.745,11.823,1.512,0.724,10.078,7.825,10.236,51.328,179.871,79.528,168.518
17463,10763,33.501,1.165,11.316,1.387,0.668,10.151,11.934,14.565,50.106,175.955,72.07,161.17
17621,8546,33.084,-1.278,12.726,1.778,0.853,14.004,12.467,14.853,51.513,227.766,94.646,214.57
4665,916,18.48,26.35,33.027,4.384,1.966,6.677,37.496,52.887,131.033,262.827,118.099,209.481
19675,4880,28.05,9.346,17.983,2.322,1.105,8.637,16.117,18.044,59.415,218.103,90.055,201.836
13276,56361,39.557,2.218,10.835,1.672,0.808,8.617,1.827,2.234,13.109,47.765,19.705,45.104
15567,92434,42.094,1.94,9.917,1.498,0.725,7.977,3.097,3.535,11.401,45.612,16.501,41.677
7114,1015,21.612,21.33,26.025,3.141,1.473,4.695,23.419,27.333,56.686,169.211,61.831,144.02
9563,7631,39.741,1.319,8.806,1.317,0.628,7.487,7.097,8.359,41.303,128.939,62.686,119.496
9642,1793,20.574,18.076,24.611,3.047,1.389,6.535,30.851,38.112,82.651,205.447,79.842,168.586
6719,961,18.779,23.267,31.48,4.196,1.802,8.213,43.89,62.432,171.839,323.653,156.592,261.296
22361,5008,21.714,16.009,22.894,3.193,1.482,6.885,9.182,10.915,61.043,201.613,93.789,189.669
17779,20746,35.945,3.285,11.382,1.614,0.772,8.097,14.957,16.958,52.791,165.635,71.278,149.38
4744,3816,32.026,7.999,15.6,2.064,0.98,7.601,13.537,16.013,42.937,126.011,49.241,108.969
7193,11929,26.081,14.17,20.755,2.617,1.213,6.585,32.921,38.644,74.324,205.846,78.007,171.698
22440,5900,25.032,13.215,23.318,3.144,1.432,10.103,17.61,21.17,114.479,322.21,166.314,302.188
3164,1106,16.122,30.636,36.215,4.468,2.041,5.579,30.416,41.244,123.743,314.328,154.928,278.903
12170,4862,42.853,-13.741,7.659,1.265,0.603,21.4,7.091,8.322,55.743,247.17,116.154,239.456
11143,47793,33.344,8.023,9.888,1.443,0.699,1.865,5.178,6.232,15.936,68.955,21.875,62.275
13355,47318,39.847,0.941,10.039,1.566,0.756,9.098,3.214,3.739,16.722,67.555,28.669,63.419
19754,20018,35.449,0.54,10.419,1.483,0.711,9.879,5.774,6.933,35.843,116.173,51.206,108.524
7272,2243,26.796,16.438,22.433,2.8,1.318,5.995,12.397,13.998,43.704,166.708,64.631,153.051
21097,3050,19.543,23.656,28.968,3.697,1.717,5.312,18.829,22.795,64.041,188.76,77.825,165.913
11222,874,18.839,23.095,29.919,3.716,1.656,6.824,46.789,62.126,134.977,289.489,124.652,235.799
3322,1348,17.087,27.411,34.127,4.242,1.928,6.716,38.151,53.906,140.016,345.583,162.122,300.703
3401,2420,18.236,21.143,30.086,3.437,1.533,8.943,37.421,53.182,174.159,422.065,226.274,382.439
